Stadtteil;Anzahl von Meldungen;Einwohnerzahl;Meldung pro Einwohner;Kaufkraft;Saldo Auswanderung;Arbeitslose;Arbeitslosenquote
Wallhausen;17;1123;0,015138023;28844,7;-27;14;0,012466607
Dingelsdorf;40;2094;0,019102197;29119,63;-5;24;0,011461318
Dettingen;65;3270;0,019877676;27003,64;-6;37;0,011314985
Egg;90;763;0,117955439;26049,9;5;28;0,036697248
Litzelstetten;96;3831;0,025058731;29864,07;2;51;0,013312451
Staad;136;1793;0,07585053;31517,41;-12;28;0,015616286
Königsbau;147;6248;0,023527529;20020,7;159;120;0,019206146
Paradies;183;6113;0,029936202;18470,84;-57;69;0,01128742
Industriegebiet;246;1093;0,225068618;18029,55;38;45;0,041171089
Allmannsdorf;271;5341;0,050739562;29320,77;-2;53;0,009923235
Fürstenberg;274;12346;0,022193423;22126,68;-30;246;0,019925482
Petershausen-Ost;290;7273;0,039873505;28491,28;68;69;0,009487144
Wollmatingen;327;6784;0,048201651;20979,76;11;139;0,020489387
Altstadt;534;12116;0,044073952;23079,89;48;241;0,019891053
Petershausen-West;698;16002;0,043619548;19086,63;107;319;0,019935008
